Sample,Sim_Id,AgeBin,Year,NationalARTPrevalence--Beta-beta,Count,Gender,NationalARTPrevalence--Beta-alpha,NationalARTPrevalence,Prevalence
385,51a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,435.9999999999999,2175.0,Female,1741.0,0.8,0.8289676425269645
385,51a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,132.49999999999997,1315.0,Female,1184.5,0.9,0.7608785743887277
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,2738.92,2976.0,Male,239.08,0.08,0.20440251572327045
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,1957.0400000000002,2476.0,Male,520.96,0.21,0.41259079903147705
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,736.6,1226.0,Male,491.40000000000003,0.4,0.19744835965978128
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,3309.7000000000003,4035.0,Female,727.3,0.18,0.3136444181925576
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,2555.08,3756.0,Female,1202.92,0.32,0.4907521578298397
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,1226.8000000000002,2270.0,Female,1045.2,0.46,0.2610441767068273
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,1199.08,1872.0,Male,674.92,0.36,0.5685840707964602
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,624.2,1558.0,Male,935.8,0.6,0.7642357642357642
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,186.04,771.0,Male,586.96,0.76,0.7528706939590614
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,935.8000000000001,2337.0,Female,1403.2,0.6,0.7071277346506705
384,52a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,435.9999999999999,2175.0,Female,1741.0,0.8,0.8385488784270285
