Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2493827160493827,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.30806451612903224,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5131677953348383,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.273406374501992,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5756302521008403,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7890828072781285,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7939739413680782,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7257831325301205,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8463836142521869,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7941914664754393,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2406876790830945,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4706043204812688,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.28308635666836995,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3589211618257261,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5283329414530921,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3206678180771445,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.6060267857142857,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8162583518930958,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7963514519731943,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7186932849364791,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8647779787020293,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
384,c75ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8170731707317073,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
385,c65ca9f7-12b6-e811-a2c0-c4346bcb7275,0.19595216191352344,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
385,c65ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4505683775404754,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
385,c65ca9f7-12b6-e811-a2c0-c4346bcb7275,0.25823591923485656,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
