Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6102564102564103,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7945205479452054,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7472924187725631,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7091963545981773,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8313216656608329,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7796738718240425,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2118758434547908,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.452132701421801,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2495736213757817,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3464818763326226,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5194727381665668,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2834008097165992,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6024305555555556,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8052884615384616,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7622180451127819,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7011265738899933,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8317781233799897,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
391,8b3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7715014577259475,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.20877659574468085,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4333652924256951,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2256983240223464,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.30606860158311344,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5105353075170843,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.27239958805355297,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6121323529411765,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7791183294663573,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7615457115928369,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7130699088145896,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8470768445238703,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
390,8c3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7811791383219955,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.22126929674099485,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.41296393099843176,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2301682692307692,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.33392018779342725,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5183006535947713,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2899896800825593,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5905349794238683,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7877777777777778,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7638819409704852,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7193618564176941,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8458678867600801,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
389,8d3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7726226993865031,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.20875,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4374464438731791,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.21440173253925285,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3004784688995215,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5097254004576659,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2475502836513667,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6152623211446739,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7787418655097614,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
